['s6', '192.240.1.2', 4.115435838699341, 'hit']
['s6', '192.240.1.2', 4.170835018157959, 'hit']
['s6', '192.240.1.1', 4.1940529346466064, 'hit']
['s6', '192.240.1.4', 4.280411005020142, 'hit']
['s6', '192.0.1.6', 4.366982936859131, 'hit']
['s6', '192.0.1.8', 4.485445022583008, 'hit']
['s6', '192.0.1.7', 4.507129907608032, 'hit']
['s6', '192.0.1.9', 4.610321044921875, 'hit']
['s6', '192.240.1.1', 4.822710990905762, 'hit']
['s6', '192.240.1.4', 4.853085994720459, 'hit']
['s6', '192.240.1.3', 4.98590087890625, 'hit']
['s6', '192.0.1.6', 5.042912006378174, 'hit']
['s6', '192.240.1.5', 5.097368955612183, 'hit']
['s6', '192.0.1.8', 5.1586549282073975, 'hit']
['s6', '192.0.1.7', 5.259907960891724, 'hit']
['s6', '192.0.1.10', 5.3022589683532715, 'hit']
['s6', '192.0.1.9', 5.370842933654785, 'hit']
['s6', '192.240.1.3', 5.583577871322632, 'hit']
['s6', '192.0.10.10', 5.7096168994903564, 'hit']
['s6', '192.240.1.5', 5.759619951248169, 'hit']
['s6', '192.240.10.102', 5.819076061248779, 'hit']
['s6', '192.0.1.10', 5.8756349086761475, 'hit']
['s6', '192.240.10.102', 5.90894889831543, 'hit']
['s6', '192.0.10.10', 5.939283847808838, 'hit']
['s6', '192.240.10.101', 6.014420986175537, 'hit']
['s6', '192.240.10.104', 6.115731954574585, 'hit']
['s6', '192.0.10.9', 6.166625022888184, 'hit']
['s6', '192.240.10.103', 6.29924201965332, 'hit']
['s6', '192.240.10.106', 6.373798847198486, 'hit']
['s6', '192.240.10.105', 6.485698938369751, 'hit']
['s6', '192.240.10.108', 6.566035985946655, 'hit']
['s6', '192.240.10.3', 6.613286972045898, 'hit']
['s6', '192.240.10.110', 6.813348054885864, 'hit']
['s6', '192.240.10.2', 6.890897989273071, 'hit']
['s6', '192.240.10.109', 7.016358852386475, 'hit']
['s6', '192.0.10.113', 7.134922027587891, 'hit']
['s6', '192.240.10.1', 7.162642955780029, 'hit']
['s6', '192.0.10.119', 7.238797903060913, 'hit']
['s6', '192.0.10.117', 7.367405891418457, 'hit']
['s6', '192.0.10.8', 7.402430057525635, 'hit']
['s6', '192.0.10.114', 7.481634855270386, 'hit']
['s6', '192.0.10.120', 7.666719913482666, 'hit']
['s6', '192.0.10.118', 7.750710964202881, 'hit']
['s6', '192.0.10.6', 7.787101984024048, 'hit']
['s6', '192.0.10.116', 7.872175931930542, 'hit']
['s6', '192.0.10.115', 7.975735902786255, 'hit']
['s6', '192.240.10.5', 7.999850034713745, 'hit']
['s6', '192.0.10.111', 8.09710693359375, 'hit']
['s6', '192.0.10.112', 8.170882940292358, 'hit']
['s6', '192.240.10.101', 8.50689697265625, 'hit']
['s6', '192.240.10.104', 8.616025924682617, 'hit']
['s6', '192.0.10.9', 8.657510042190552, 'hit']
['s6', '192.240.10.103', 8.760076999664307, 'hit']
['s6', '192.240.10.106', 8.863399982452393, 'hit']
['s6', '192.240.10.4', 8.890995025634766, 'hit']
['s6', '192.240.10.105', 9.00262188911438, 'hit']
['s6', '192.240.10.108', 9.08835506439209, 'hit']
['s6', '192.240.10.3', 9.12087106704712, 'hit']
['s6', '192.240.10.107', 9.21585202217102, 'hit']
['s6', '192.240.10.110', 9.380720853805542, 'hit']
['s6', '192.240.10.2', 9.41134786605835, 'hit']
['s6', '192.240.10.109', 9.67972207069397, 'hit']
['s6', '192.0.10.113', 9.7638840675354, 'hit']
['s6', '192.0.10.119', 9.861342906951904, 'hit']
['s6', '192.0.10.117', 9.936508893966675, 'hit']
['s6', '192.0.10.8', 9.968132019042969, 'hit']
['s6', '192.0.10.114', 10.047713994979858, 'hit']
['s6', '192.0.10.120', 10.141479969024658, 'hit']
['s6', '192.0.10.7', 10.1629478931427, 'hit']
['s6', '192.0.10.118', 10.244488000869751, 'hit']
['s6', '192.0.10.116', 10.308753967285156, 'hit']
['s6', '192.0.10.115', 10.404274940490723, 'hit']
['s6', '192.0.10.111', 10.484508037567139, 'hit']
['s6', '192.240.10.5', 10.513736009597778, 'hit']
['s6', '192.0.10.112', 10.589225053787231, 'hit']
['s6', '192.240.10.4', 11.276278018951416, 'hit']
['s6', '192.240.10.107', 11.458306074142456, 'hit']
['s6', '192.240.10.1', 11.895200967788696, 'hit']
['s6', '192.0.10.7', 12.339676856994629, 'hit']
['s6', '192.0.10.6', 12.513838052749634, 'hit']
['s6', '192.240.10.1', 14.5711190700531, 'hit']
['s6', '192.0.10.6', 15.352216958999634, 'hit']
