['s1', '192.240.1.2', 5.402369976043701, 'hit']
['s1', '192.240.1.2', 5.494142055511475, 'hit']
['s1', '192.240.1.2', 5.998692989349365, 'hit']
['s1', '192.240.1.2', 6.057174921035767, 'hit']
['s1', '192.240.1.2', 6.67829704284668, 'hit']
['s1', '192.240.1.2', 6.701774835586548, 'hit']
['s1', '192.240.1.1', 6.74992299079895, 'hit']
['s1', '192.240.1.4', 6.781446933746338, 'hit']
['s1', '192.0.1.6', 7.000676870346069, 'hit']
['s1', '192.0.1.8', 7.1210620403289795, 'hit']
['s1', '192.0.1.7', 7.195250034332275, 'hit']
['s1', '192.0.1.9', 7.297852039337158, 'hit']
['s1', '192.240.1.2', 7.329007863998413, 'hit']
['s1', '192.240.1.2', 7.434522867202759, 'hit']
['s1', '192.240.1.1', 7.470517873764038, 'hit']
['s1', '192.240.1.4', 7.525439977645874, 'hit']
['s1', '192.240.1.3', 7.642720937728882, 'hit']
['s1', '192.0.1.6', 7.733757972717285, 'hit']
['s1', '192.240.1.5', 7.8273210525512695, 'hit']
['s1', '192.0.1.8', 7.8538148403167725, 'hit']
['s1', '192.0.1.7', 7.917500019073486, 'hit']
['s1', '192.0.1.10', 7.950736999511719, 'hit']
['s1', '192.0.1.9', 8.04130506515503, 'hit']
['s1', '192.240.1.2', 8.126450061798096, 'hit']
['s1', '192.240.1.1', 8.159765005111694, 'hit']
['s1', '192.240.1.4', 8.22900390625, 'hit']
['s1', '192.240.1.3', 8.277965068817139, 'hit']
['s1', '192.0.1.6', 8.331882953643799, 'hit']
['s1', '192.240.1.5', 8.364301919937134, 'hit']
['s1', '192.0.1.8', 8.441166877746582, 'hit']
['s1', '192.0.1.7', 8.483384847640991, 'hit']
['s1', '192.0.1.10', 8.560592889785767, 'hit']
['s1', '192.0.1.9', 8.597166061401367, 'hit']
['s1', '192.240.1.2', 8.691681861877441, 'hit']
['s1', '192.240.1.2', 8.715404987335205, 'hit']
['s1', '192.240.1.1', 8.81467890739441, 'hit']
['s1', '192.240.1.4', 8.84855604171753, 'hit']
['s1', '192.240.1.3', 8.946708917617798, 'hit']
['s1', '192.0.1.6', 8.970568895339966, 'hit']
['s1', '192.240.1.5', 9.047003984451294, 'hit']
['s1', '192.0.1.8', 9.073722839355469, 'hit']
['s1', '192.0.1.7', 9.166559934616089, 'hit']
['s1', '192.0.1.10', 9.192322015762329, 'hit']
['s1', '192.0.1.9', 9.268226861953735, 'hit']
['s1', '192.240.1.2', 9.314996004104614, 'hit']
['s1', '192.240.1.2', 9.442714929580688, 'hit']
['s1', '192.240.1.1', 9.517014026641846, 'hit']
['s1', '192.240.1.4', 9.71032190322876, 'hit']
['s1', '192.240.1.3', 9.742187976837158, 'hit']
['s1', '192.0.1.6', 9.818655967712402, 'hit']
['s1', '192.0.1.8', 9.88989806175232, 'hit']
['s1', '192.0.1.7', 9.921623945236206, 'hit']
['s1', '192.0.1.10', 9.9979829788208, 'hit']
['s1', '192.0.1.9', 10.026952981948853, 'hit']
['s1', '192.240.1.2', 10.082020998001099, 'hit']
['s1', '192.240.1.2', 10.118944883346558, 'hit']
['s1', '192.240.1.1', 10.194077968597412, 'hit']
['s1', '192.240.1.4', 10.222369909286499, 'hit']
['s1', '192.240.1.3', 10.261811017990112, 'hit']
['s1', '192.0.1.6', 10.286936044692993, 'hit']
['s1', '192.240.1.5', 10.362489938735962, 'hit']
['s1', '192.0.1.7', 10.443094968795776, 'hit']
['s1', '192.0.1.10', 10.466362953186035, 'hit']
['s1', '192.0.1.9', 10.542505025863647, 'hit']
['s1', '192.240.1.2', 10.570493936538696, 'hit']
['s1', '192.240.1.2', 10.618780851364136, 'hit']
['s1', '192.240.1.1', 10.645938873291016, 'hit']
['s1', '192.240.10.102', 10.673388004302979, 'hit']
['s1', '192.240.1.4', 10.721756935119629, 'hit']
['s1', '192.240.1.3', 10.747293949127197, 'hit']
['s1', '192.0.1.6', 10.80470585823059, 'hit']
['s1', '192.240.1.5', 10.826166868209839, 'hit']
['s1', '192.0.10.10', 10.878007888793945, 'hit']
['s1', '192.0.1.8', 10.905743837356567, 'hit']
['s1', '192.0.1.10', 10.989636898040771, 'hit']
['s1', '192.240.1.2', 11.099063873291016, 'hit']
['s1', '192.240.1.2', 11.13433289527893, 'hit']
['s1', '192.240.1.1', 11.1977698802948, 'hit']
['s1', '192.240.1.4', 11.226209878921509, 'hit']
['s1', '192.240.1.3', 11.314220905303955, 'hit']
['s1', '192.0.1.6', 11.33781886100769, 'hit']
['s1', '192.240.1.5', 11.40586805343628, 'hit']
['s1', '192.0.1.8', 11.440068006515503, 'hit']
['s1', '192.0.1.7', 11.523072004318237, 'hit']
['s1', '192.0.1.10', 11.553360939025879, 'hit']
['s1', '192.0.1.9', 11.612016916275024, 'hit']
['s1', '192.240.1.2', 11.638323068618774, 'hit']
['s1', '192.240.1.2', 11.766737937927246, 'hit']
['s1', '192.240.1.1', 11.85361385345459, 'hit']
['s1', '192.240.1.4', 11.938184976577759, 'hit']
['s1', '192.240.1.3', 11.963510036468506, 'hit']
['s1', '192.0.1.6', 12.01368498802185, 'hit']
['s1', '192.240.1.5', 12.059043884277344, 'hit']
['s1', '192.0.1.8', 12.16105604171753, 'hit']
['s1', '192.0.1.10', 12.25146198272705, 'hit']
['s1', '192.0.1.9', 12.288372993469238, 'hit']
['s1', '192.240.1.2', 12.374043941497803, 'hit']
['s1', '192.240.1.2', 12.405127048492432, 'hit']
['s1', '192.240.1.1', 12.452005863189697, 'hit']
['s1', '192.240.1.4', 12.474536895751953, 'hit']
