['s2', '192.240.10.102', 67.0305540561676, 'hit']
['s2', '192.240.10.102', 67.09577798843384, 'hit']
['s2', '192.240.10.102', 69.07736206054688, 'hit']
['s2', '192.240.10.102', 69.18056106567383, 'hit']
['s2', '192.240.10.102', 71.20695209503174, 'hit']
['s2', '192.240.10.102', 71.34575414657593, 'hit']
['s2', '192.240.10.102', 74.12260603904724, 'hit']
['s2', '192.0.10.10', 74.15814900398254, 'hit']
['s2', '192.240.10.102', 74.28103113174438, 'hit']
['s2', '192.0.10.10', 74.4187741279602, 'hit']
['s2', '192.240.10.102', 76.65000510215759, 'hit']
['s2', '192.240.10.102', 76.76485204696655, 'hit']
['s2', '192.0.10.10', 77.01692605018616, 'hit']
['s2', '192.240.10.102', 79.32850098609924, 'hit']
['s2', '192.240.10.102', 79.49516701698303, 'hit']
['s2', '192.0.10.10', 79.63075399398804, 'hit']
['s2', '192.0.10.10', 79.85807704925537, 'hit']
['s2', '192.240.10.102', 81.8626081943512, 'hit']
['s2', '192.240.10.102', 81.9616551399231, 'hit']
['s2', '192.0.10.10', 82.20043015480042, 'hit']
['s2', '192.0.10.10', 82.41657304763794, 'hit']
['s2', '192.240.10.102', 84.14834117889404, 'hit']
['s2', '192.240.10.102', 84.32767605781555, 'hit']
['s2', '192.0.10.10', 84.77349710464478, 'hit']
['s2', '192.0.10.10', 85.04603099822998, 'hit']
['s2', '192.240.10.102', 86.891930103302, 'hit']
['s2', '192.240.10.102', 87.01170206069946, 'hit']
['s2', '192.0.10.10', 87.5282051563263, 'hit']
['s2', '192.0.10.10', 87.76429605484009, 'hit']
['s2', '192.240.10.102', 89.25600218772888, 'hit']
['s2', '192.240.10.102', 89.38539719581604, 'hit']
['s2', '192.0.10.10', 89.87921118736267, 'hit']
['s2', '192.0.10.10', 90.12327313423157, 'hit']
['s2', '192.240.10.102', 91.59966516494751, 'hit']
['s2', '192.240.10.102', 91.70190715789795, 'hit']
['s2', '192.0.10.10', 92.47904205322266, 'hit']
['s2', '192.0.10.10', 92.70914602279663, 'hit']
['s2', '192.240.10.102', 94.07018113136292, 'hit']
['s2', '192.240.10.102', 94.19413018226624, 'hit']
['s2', '192.0.10.10', 94.9292140007019, 'hit']
['s2', '192.0.10.10', 95.16191911697388, 'hit']
['s2', '192.240.10.102', 96.27864718437195, 'hit']
['s2', '192.240.10.102', 96.37814807891846, 'hit']
['s2', '192.0.10.10', 97.3232421875, 'hit']
['s2', '192.0.10.10', 97.5840470790863, 'hit']
['s2', '192.240.10.102', 98.76433610916138, 'hit']
['s2', '192.240.10.102', 98.9158980846405, 'hit']
['s2', '192.0.10.10', 100.09023308753967, 'hit']
['s2', '192.0.10.10', 100.356192111969, 'hit']
['s2', '192.240.10.102', 101.4957160949707, 'hit']
['s2', '192.240.10.102', 101.58566308021545, 'hit']
['s2', '192.0.10.10', 102.72368216514587, 'hit']
['s2', '192.0.10.10', 102.92778897285461, 'hit']
['s2', '192.240.10.102', 103.72001099586487, 'hit']
['s2', '192.240.10.102', 103.83858299255371, 'hit']
['s2', '192.0.10.10', 104.98697400093079, 'hit']
['s2', '192.0.10.10', 105.20939111709595, 'hit']
['s2', '192.240.10.102', 105.92285513877869, 'hit']
['s2', '192.240.10.102', 106.00755405426025, 'hit']
['s2', '192.0.10.10', 107.27555513381958, 'hit']
['s2', '192.0.10.10', 107.51548409461975, 'hit']
['s2', '192.240.10.102', 108.17159414291382, 'hit']
['s2', '192.240.10.102', 108.30293011665344, 'hit']
['s2', '192.0.10.10', 109.67006802558899, 'hit']
['s2', '192.0.10.10', 109.86420798301697, 'hit']
['s2', '192.240.10.102', 110.36716103553772, 'hit']
['s2', '192.240.10.102', 110.4740161895752, 'hit']
['s2', '192.0.10.10', 112.08319211006165, 'hit']
['s2', '192.0.10.10', 112.33140301704407, 'hit']
['s2', '192.240.10.102', 112.79414010047913, 'hit']
['s2', '192.240.10.102', 112.95146608352661, 'hit']
['s2', '192.0.10.10', 114.80357003211975, 'hit']
['s2', '192.0.10.10', 115.05406498908997, 'hit']
['s2', '192.240.10.102', 115.42640709877014, 'hit']
['s2', '192.240.10.102', 115.504634141922, 'hit']
['s2', '192.0.10.10', 117.48261713981628, 'hit']
['s2', '192.0.10.10', 117.72908997535706, 'hit']
['s2', '192.240.10.102', 117.91796207427979, 'hit']
['s2', '192.240.10.102', 118.02198505401611, 'hit']
['s2', '192.0.10.10', 119.95606708526611, 'hit']
['s2', '192.0.10.10', 120.1557559967041, 'hit']
['s2', '192.240.10.102', 120.25492310523987, 'hit']
['s2', '192.240.10.102', 120.39822602272034, 'hit']
['s2', '192.0.10.10', 122.60049319267273, 'hit']
['s2', '192.240.10.102', 122.79949808120728, 'hit']
['s2', '192.240.10.102', 122.94350004196167, 'hit']
['s2', '192.0.10.10', 125.19285917282104, 'hit']
['s2', '192.240.10.102', 125.2761960029602, 'hit']
['s2', '192.240.10.102', 125.36786913871765, 'hit']
['s2', '192.240.10.102', 127.28785014152527, 'hit']
['s2', '192.240.10.102', 127.38644504547119, 'hit']
['s2', '192.0.10.10', 127.49064803123474, 'hit']
['s2', '192.240.10.102', 129.67525911331177, 'hit']
['s2', '192.240.10.102', 129.77938199043274, 'hit']
['s2', '192.0.10.10', 129.8168749809265, 'hit']
['s2', '192.0.10.10', 130.05635118484497, 'hit']
['s2', '192.240.10.102', 131.9478530883789, 'hit']
['s2', '192.240.10.102', 132.0883731842041, 'hit']
['s2', '192.0.10.10', 132.21551418304443, 'hit']
['s2', '192.0.10.10', 132.46843314170837, 'hit']
['s2', '192.240.10.102', 134.23074197769165, 'hit']
['s2', '192.240.10.102', 134.33068108558655, 'hit']
['s2', '192.0.10.10', 134.57881999015808, 'hit']
['s2', '192.0.10.10', 134.77557516098022, 'hit']
['s2', '192.240.10.102', 136.48605608940125, 'hit']
['s2', '192.240.10.102', 136.5962359905243, 'hit']
['s2', '192.0.10.10', 136.92591619491577, 'hit']
['s2', '192.0.10.10', 137.1190960407257, 'hit']
['s2', '192.240.10.102', 138.81193900108337, 'hit']
['s2', '192.240.10.102', 138.91532015800476, 'hit']
['s2', '192.0.10.10', 139.3351171016693, 'hit']
['s2', '192.0.10.10', 139.51505708694458, 'hit']
['s2', '192.240.10.102', 141.0156490802765, 'hit']
['s2', '192.240.10.102', 141.15062499046326, 'hit']
['s2', '192.0.10.10', 141.76440906524658, 'hit']
['s2', '192.0.10.10', 141.98769307136536, 'hit']
['s2', '192.240.10.102', 143.58503603935242, 'hit']
['s2', '192.240.10.102', 143.6665370464325, 'hit']
['s2', '192.0.10.10', 144.38023614883423, 'hit']
['s2', '192.0.10.10', 144.60961604118347, 'hit']
['s2', '192.240.10.102', 145.96009016036987, 'hit']
['s2', '192.240.10.102', 146.0788950920105, 'hit']
['s2', '192.0.10.10', 146.91904401779175, 'hit']
['s2', '192.0.10.10', 147.17243599891663, 'hit']
['s2', '192.240.10.102', 148.49584197998047, 'hit']
['s2', '192.240.10.102', 148.61896014213562, 'hit']
['s2', '192.0.10.10', 149.64582109451294, 'hit']
['s2', '192.0.10.10', 149.92892909049988, 'hit']
['s2', '192.240.10.102', 151.11787104606628, 'hit']
['s2', '192.240.10.102', 151.25116300582886, 'hit']
['s2', '192.0.10.10', 152.3589460849762, 'hit']
['s2', '192.0.10.10', 152.5785629749298, 'hit']
['s2', '192.240.10.102', 153.6749701499939, 'hit']
['s2', '192.240.10.102', 153.80480313301086, 'hit']
['s2', '192.0.10.10', 155.0612771511078, 'hit']
['s2', '192.0.10.10', 155.31939816474915, 'hit']
['s2', '192.240.10.102', 156.20733213424683, 'hit']
['s2', '192.240.10.102', 156.31921195983887, 'hit']
['s2', '192.0.10.10', 157.3590211868286, 'hit']
['s2', '192.0.10.10', 157.5445430278778, 'hit']
['s2', '192.240.10.102', 158.2295160293579, 'hit']
['s2', '192.240.10.102', 158.30739212036133, 'hit']
['s2', '192.0.10.10', 159.67628502845764, 'hit']
['s2', '192.0.10.10', 159.93534207344055, 'hit']
['s2', '192.240.10.102', 160.6017279624939, 'hit']
['s2', '192.240.10.102', 160.74026012420654, 'hit']
['s2', '192.0.10.10', 162.16598296165466, 'hit']
['s2', '192.0.10.10', 162.37133598327637, 'hit']
['s2', '192.240.10.102', 162.82012104988098, 'hit']
['s2', '192.240.10.102', 162.91189002990723, 'hit']
['s2', '192.0.10.10', 164.346773147583, 'hit']
['s2', '192.0.10.10', 164.5345959663391, 'hit']
['s2', '192.240.10.102', 164.95535111427307, 'hit']
['s2', '192.240.10.102', 165.10043001174927, 'hit']
['s2', '192.0.10.10', 166.67072916030884, 'hit']
['s2', '192.0.10.10', 166.9166660308838, 'hit']
['s2', '192.240.10.102', 167.2592179775238, 'hit']
['s2', '192.240.10.102', 167.37963008880615, 'hit']
['s2', '192.0.10.10', 169.2397871017456, 'hit']
['s2', '192.0.10.10', 169.47615098953247, 'hit']
['s2', '192.240.10.102', 169.66784405708313, 'hit']
['s2', '192.240.10.102', 169.79235696792603, 'hit']
['s2', '192.0.10.10', 171.6137180328369, 'hit']
['s2', '192.0.10.10', 171.84484219551086, 'hit']
['s2', '192.240.10.102', 171.94627404212952, 'hit']
['s2', '192.240.10.102', 172.05026412010193, 'hit']
['s2', '192.0.10.10', 173.96705412864685, 'hit']
['s2', '192.240.10.102', 174.1473410129547, 'hit']
['s2', '192.0.10.10', 174.18702101707458, 'hit']
['s2', '192.240.10.102', 174.27605319023132, 'hit']
['s2', '192.0.10.10', 176.46023797988892, 'hit']
['s2', '192.240.10.102', 176.55463910102844, 'hit']
['s2', '192.240.10.102', 176.61092901229858, 'hit']
['s2', '192.0.10.10', 176.65015602111816, 'hit']
['s2', '192.240.2.2', 177.15200901031494, 'hit']
['s2', '192.240.2.2', 177.60699701309204, 'hit']
['s2', '192.240.2.2', 177.6334149837494, 'hit']
['s2', '192.240.2.2', 178.16347312927246, 'hit']
['s2', '192.240.2.2', 178.2510621547699, 'hit']
['s2', '192.240.10.102', 178.55889415740967, 'hit']
['s2', '192.0.10.10', 178.5839581489563, 'hit']
['s2', '192.240.10.102', 178.64671301841736, 'hit']
['s2', '192.240.2.2', 178.67513418197632, 'hit']
['s2', '192.240.2.2', 178.70327806472778, 'hit']
['s2', '192.0.10.10', 178.7628390789032, 'hit']
['s2', '192.240.2.2', 179.27968096733093, 'hit']
['s2', '192.240.2.2', 179.3349311351776, 'hit']
['s2', '192.240.2.2', 179.92278218269348, 'hit']
['s2', '192.240.2.2', 180.48279809951782, 'hit']
['s2', '192.240.2.2', 180.57536506652832, 'hit']
['s2', '192.240.10.102', 180.83100414276123, 'hit']
['s2', '192.240.10.102', 180.91996717453003, 'hit']
['s2', '192.0.10.10', 180.9550371170044, 'hit']
['s2', '192.240.2.2', 181.09863018989563, 'hit']
['s2', '192.240.2.2', 181.12382102012634, 'hit']
['s2', '192.0.10.10', 181.1749050617218, 'hit']
['s2', '192.240.2.2', 181.59552311897278, 'hit']
['s2', '192.240.2.2', 181.64282202720642, 'hit']
