['s2', '192.240.2.2', 33.132121086120605, 'hit']
['s2', '192.240.2.2', 33.62857794761658, 'hit']
['s2', '192.240.2.2', 33.728864908218384, 'hit']
['s2', '192.240.2.2', 34.27969288825989, 'hit']
['s2', '192.240.2.2', 34.33193397521973, 'hit']
['s2', '192.240.2.2', 34.85932111740112, 'hit']
['s2', '192.240.2.2', 34.9210159778595, 'hit']
['s2', '192.240.2.2', 35.52842092514038, 'hit']
['s2', '192.240.2.2', 36.13897705078125, 'hit']
['s2', '192.240.2.2', 36.22553992271423, 'hit']
['s2', '192.240.2.2', 36.826961040496826, 'hit']
['s2', '192.240.2.2', 36.85897898674011, 'hit']
['s2', '192.240.2.2', 37.441720962524414, 'hit']
['s2', '192.240.2.2', 37.50119495391846, 'hit']
['s2', '192.240.2.2', 38.08122801780701, 'hit']
['s2', '192.240.2.2', 38.12404489517212, 'hit']
['s2', '192.240.2.2', 38.63627004623413, 'hit']
['s2', '192.240.2.2', 38.7418270111084, 'hit']
['s2', '192.240.2.2', 39.23776292800903, 'hit']
['s2', '192.240.2.2', 39.86129689216614, 'hit']
['s2', '192.240.2.2', 39.950401067733765, 'hit']
['s2', '192.240.2.2', 40.545562982559204, 'hit']
['s2', '192.240.2.2', 41.07479405403137, 'hit']
['s2', '192.240.2.2', 41.13895606994629, 'hit']
['s2', '192.240.2.2', 41.63286900520325, 'hit']
['s2', '192.240.2.2', 41.66213512420654, 'hit']
['s2', '192.240.2.2', 42.25865697860718, 'hit']
['s2', '192.240.2.2', 42.33163094520569, 'hit']
['s2', '192.240.2.2', 42.96629095077515, 'hit']
['s2', '192.240.2.2', 43.66066002845764, 'hit']
['s2', '192.240.2.2', 43.761504888534546, 'hit']
['s2', '192.240.2.2', 44.34781289100647, 'hit']
['s2', '192.240.2.2', 44.37107706069946, 'hit']
['s2', '192.240.2.2', 44.98837089538574, 'hit']
['s2', '192.240.2.2', 45.04480791091919, 'hit']
['s2', '192.240.2.2', 45.57294011116028, 'hit']
['s2', '192.240.2.2', 46.14189600944519, 'hit']
['s2', '192.240.2.2', 46.228511095047, 'hit']
['s2', '192.240.2.2', 46.7967369556427, 'hit']
['s2', '192.240.2.2', 47.425297021865845, 'hit']
['s2', '192.240.2.2', 47.50075602531433, 'hit']
['s2', '192.240.2.2', 48.139811992645264, 'hit']
['s2', '192.240.2.2', 48.82128095626831, 'hit']
['s2', '192.240.2.2', 48.952264070510864, 'hit']
['s2', '192.240.2.2', 49.49322295188904, 'hit']
['s2', '192.240.2.2', 49.54119300842285, 'hit']
['s2', '192.240.2.2', 50.18584108352661, 'hit']
['s2', '192.240.2.2', 50.25275707244873, 'hit']
['s2', '192.240.2.2', 50.85806894302368, 'hit']
['s2', '192.240.2.2', 51.40118408203125, 'hit']
['s2', '192.240.2.2', 51.481374979019165, 'hit']
['s2', '192.240.2.2', 52.02985596656799, 'hit']
['s2', '192.240.2.2', 52.06610703468323, 'hit']
['s2', '192.240.2.2', 52.67636799812317, 'hit']
['s2', '192.240.2.2', 52.761143922805786, 'hit']
['s2', '192.240.2.2', 53.371301889419556, 'hit']
['s2', '192.240.2.2', 53.43458890914917, 'hit']
['s2', '192.240.2.2', 54.0346999168396, 'hit']
['s2', '192.240.2.2', 54.13006591796875, 'hit']
['s2', '192.240.2.2', 54.75372791290283, 'hit']
['s2', '192.240.2.2', 54.823062896728516, 'hit']
['s2', '192.240.2.2', 55.54872488975525, 'hit']
['s2', '192.240.2.2', 55.633188009262085, 'hit']
['s2', '192.240.2.2', 56.24478197097778, 'hit']
['s2', '192.240.2.2', 56.28007197380066, 'hit']
['s2', '192.240.2.2', 56.87771701812744, 'hit']
['s2', '192.240.2.2', 56.972898960113525, 'hit']
['s2', '192.240.2.2', 57.46726608276367, 'hit']
['s2', '192.240.2.2', 57.50915789604187, 'hit']
['s2', '192.240.2.2', 58.14949989318848, 'hit']
['s2', '192.240.2.2', 58.213119983673096, 'hit']
['s2', '192.240.2.2', 58.86780905723572, 'hit']
['s2', '192.240.2.2', 58.90145707130432, 'hit']
['s2', '192.240.2.2', 59.485198974609375, 'hit']
['s2', '192.240.2.2', 59.593388080596924, 'hit']
['s2', '192.240.2.2', 60.22212100028992, 'hit']
['s2', '192.240.2.2', 60.8849139213562, 'hit']
['s2', '192.240.2.2', 60.93925189971924, 'hit']
['s2', '192.240.2.2', 61.56546092033386, 'hit']
['s2', '127.0.0.1', 61.61243009567261, 'hit']
