['s5', '192.240.10.1', 30.28559899330139, 1655381898.76037, 'hit']
['s5', '192.240.10.1', 30.813869953155518, 1655381899.288642, 'hit']
['s5', '192.240.10.1', 30.89014196395874, 1655381899.364913, 'hit']
['s5', '192.240.10.1', 30.94565987586975, 1655381899.420431, 'hit']
['s5', '192.240.10.1', 31.430157899856567, 1655381899.904929, 'hit']
['s5', '192.240.10.1', 31.500004053115845, 1655381899.974775, 'hit']
['s5', '192.240.10.1', 32.043479919433594, 1655381900.518252, 'hit']
['s5', '192.240.10.2', 32.07414793968201, 1655381900.548919, 'hit']
['s5', '192.240.10.1', 32.12423801422119, 1655381900.599009, 'hit']
['s5', '192.240.10.3', 32.53927707672119, 1655381901.014048, 'hit']
['s5', '192.240.10.2', 32.575380086898804, 1655381901.050151, 'hit']
['s5', '192.240.10.1', 32.642082929611206, 1655381901.116855, 'hit']
['s5', '192.240.10.2', 32.75599193572998, 1655381901.230764, 'hit']
['s5', '192.240.10.4', 33.023622035980225, 1655381901.498394, 'hit']
['s5', '192.240.10.3', 33.09749388694763, 1655381901.572265, 'hit']
['s5', '192.240.10.4', 33.12768602371216, 1655381901.602458, 'hit']
['s5', '192.240.10.3', 33.163431882858276, 1655381901.638203, 'hit']
['s5', '192.240.10.2', 33.23815107345581, 1655381901.712922, 'hit']
['s5', '192.240.10.3', 33.3267719745636, 1655381901.801544, 'hit']
['s5', '192.240.10.2', 33.37568998336792, 1655381901.850462, 'hit']
['s5', '192.240.10.4', 33.627362966537476, 1655381902.102134, 'hit']
['s5', '192.240.10.2', 33.76322102546692, 1655381902.237992, 'hit']
['s5', '192.240.10.3', 33.864542961120605, 1655381902.339314, 'hit']
['s5', '192.240.1.2', 33.922847032547, 1655381902.397618, 'hit']
['s5', '192.240.10.3', 33.994138956069946, 1655381902.468911, 'hit']
['s5', '192.240.1.2', 34.16227197647095, 1655381902.637043, 'hit']
['s5', '192.240.10.4', 34.223613023757935, 1655381902.698385, 'hit']
['s5', '192.240.10.3', 34.28009605407715, 1655381902.754868, 'hit']
['s5', '192.240.10.4', 34.47391200065613, 1655381902.948683, 'hit']
['s5', '192.240.10.3', 34.58743405342102, 1655381903.062206, 'hit']
['s5', '192.240.10.5', 34.66704702377319, 1655381903.141819, 'hit']
['s5', '192.240.1.2', 34.80942392349243, 1655381903.284196, 'hit']
['s5', '192.240.10.5', 34.89324903488159, 1655381903.36802, 'hit']
['s5', '192.240.10.2', 35.002623081207275, 1655381903.477394, 'hit']
['s5', '192.240.1.2', 35.11044001579285, 1655381903.585212, 'hit']
['s5', '192.240.10.4', 35.17907404899597, 1655381903.653847, 'hit']
['s5', '192.240.10.3', 35.246471881866455, 1655381903.721243, 'hit']
['s5', '192.240.1.2', 35.482829093933105, 1655381903.957601, 'hit']
['s5', '192.240.10.5', 35.555619955062866, 1655381904.030391, 'hit']
['s5', '192.240.10.2', 35.643637895584106, 1655381904.11841, 'hit']
['s5', '192.240.1.2', 35.74456000328064, 1655381904.219331, 'hit']
['s5', '192.240.10.2', 35.89406394958496, 1655381904.368836, 'hit']
['s5', '192.240.10.5', 35.93194103240967, 1655381904.406712, 'hit']
['s5', '192.240.10.5', 36.198410987854004, 1655381904.673183, 'hit']
['s5', '192.240.10.4', 36.468262910842896, 1655381904.943034, 'hit']
['s5', '192.240.10.5', 36.591830015182495, 1655381905.066602, 'hit']
['s5', '192.0.10.118', 36.672592878341675, 1655381905.147364, 'hit']
['s5', '192.240.1.2', 36.737915992736816, 1655381905.212763, 'hit']
['s5', '192.240.10.5', 36.90332508087158, 1655381905.378099, 'hit']
['s5', '192.240.10.4', 37.123388051986694, 1655381905.598159, 'hit']
['s5', '192.240.10.4', 37.263566970825195, 1655381905.738339, 'hit']
['s5', '192.240.1.2', 37.50291585922241, 1655381905.977688, 'hit']
['s5', '192.240.10.5', 37.585798025131226, 1655381906.06057, 'hit']
['s5', '192.240.10.4', 37.83600306510925, 1655381906.310775, 'hit']
['s5', '192.240.10.5', 38.18003702163696, 1655381906.654808, 'hit']
['s5', '192.240.1.2', 38.50103807449341, 1655381906.97581, 'hit']
['s5', '192.240.10.102', 43.45206594467163, 1655381911.926838, 'hit']
['s5', '192.240.10.102', 43.58159303665161, 1655381912.056364, 'hit']
['s5', '192.240.10.109', 44.66717886924744, 1655381913.14195, 'hit']
['s5', '192.240.10.102', 44.764090061187744, 1655381913.238861, 'hit']
['s5', '192.240.10.102', 45.20658898353577, 1655381913.681361, 'hit']
['s5', '192.240.10.102', 45.29490804672241, 1655381913.769679, 'hit']
['s5', '192.240.10.109', 45.842243909835815, 1655381914.317016, 'hit']
['s5', '192.240.10.102', 46.02826690673828, 1655381914.503039, 'hit']
['s5', '192.240.10.109', 46.30819606781006, 1655381914.782967, 'hit']
['s5', '192.240.10.110', 47.06631898880005, 1655381915.54109, 'hit']
['s5', '192.240.10.109', 47.215720891952515, 1655381915.690492, 'hit']
['s5', '192.240.10.102', 47.28358697891235, 1655381915.758359, 'hit']
['s5', '192.240.10.102', 47.58133888244629, 1655381916.056111, 'hit']
['s5', '192.240.10.110', 48.19908094406128, 1655381916.673852, 'hit']
['s5', '192.240.10.109', 48.312613010406494, 1655381916.787384, 'hit']
['s5', '192.240.10.110', 48.583993911743164, 1655381917.058765, 'hit']
['s5', '192.240.10.109', 48.71608901023865, 1655381917.19086, 'hit']
['s5', '192.240.10.102', 49.58667993545532, 1655381918.061451, 'hit']
['s5', '192.240.10.102', 49.67954897880554, 1655381918.15432, 'hit']
['s5', '192.240.10.110', 50.566137075424194, 1655381919.040908, 'hit']
['s5', '192.240.10.109', 50.67781901359558, 1655381919.152591, 'hit']
['s5', '192.240.10.110', 51.04002594947815, 1655381919.514797, 'hit']
['s5', '192.240.10.109', 51.141534090042114, 1655381919.616305, 'hit']
['s5', '192.240.10.102', 51.96834588050842, 1655381920.443118, 'hit']
['s5', '192.240.10.110', 52.110405921936035, 1655381920.585177, 'hit']
['s5', '192.240.10.109', 52.26045489311218, 1655381920.735227, 'hit']
['s5', '192.240.10.110', 53.10328388214111, 1655381921.578055, 'hit']
['s5', '192.240.10.109', 53.191510915756226, 1655381921.666282, 'hit']
['s5', '192.240.10.110', 53.50120806694031, 1655381921.975979, 'hit']
['s5', '192.240.10.109', 53.62375807762146, 1655381922.098529, 'hit']
['s5', '192.240.10.110', 54.675045013427734, 1655381923.149817, 'hit']
['s5', '192.240.10.109', 54.77633309364319, 1655381923.251104, 'hit']
['s5', '192.240.10.110', 55.654003858566284, 1655381924.128775, 'hit']
['s5', '192.240.10.109', 55.82173705101013, 1655381924.296508, 'hit']
['s5', '192.240.10.110', 55.99862504005432, 1655381924.473397, 'hit']
['s5', '192.240.10.109', 56.118025064468384, 1655381924.592797, 'hit']
['s5', '192.240.10.110', 57.256052017211914, 1655381925.730823, 'hit']
