['s3', '192.240.3.2', 17.00394892692566, 'hit']
['s3', '192.0.3.6', 17.306278944015503, 'hit']
['s3', '192.0.3.7', 17.488189935684204, 'hit']
['s3', '192.0.3.9', 17.61577796936035, 'hit']
['s3', '192.240.10.102', 17.66133999824524, 'hit']
['s3', '192.0.10.10', 17.75265908241272, 'hit']
['s3', '192.240.3.4', 17.814785957336426, 'hit']
['s3', '192.0.3.6', 17.888479948043823, 'hit']
['s3', '192.0.3.7', 18.108449935913086, 'hit']
['s3', '192.0.3.9', 18.22913408279419, 'hit']
['s3', '192.240.3.2', 18.30409812927246, 'hit']
['s3', '192.240.3.1', 18.329031944274902, 'hit']
['s3', '192.240.3.4', 18.53824496269226, 'hit']
['s3', '192.0.3.6', 18.638962984085083, 'hit']
['s3', '192.0.3.8', 18.73895812034607, 'hit']
['s3', '192.0.3.10', 18.87112307548523, 'hit']
['s3', '192.240.3.2', 18.999428033828735, 'hit']
['s3', '192.240.3.1', 19.123927116394043, 'hit']
['s3', '192.240.3.3', 19.27588701248169, 'hit']
['s3', '192.240.3.5', 19.375731945037842, 'hit']
['s3', '192.0.3.7', 19.55029296875, 'hit']
['s3', '192.0.3.9', 19.681010961532593, 'hit']
['s3', '192.240.3.2', 19.739372968673706, 'hit']
['s3', '192.240.3.2', 19.8578679561615, 'hit']
['s3', '192.240.3.4', 19.957417964935303, 'hit']
['s3', '192.0.3.6', 20.130171060562134, 'hit']
['s3', '192.240.10.102', 20.213501930236816, 'hit']
['s3', '192.0.3.7', 20.283700942993164, 'hit']
['s3', '192.0.10.10', 20.361329078674316, 'hit']
['s3', '192.0.3.9', 20.45880913734436, 'hit']
['s3', '192.240.3.2', 20.589509963989258, 'hit']
['s3', '192.0.10.10', 20.719018936157227, 'hit']
['s3', '192.240.3.4', 20.77327013015747, 'hit']
['s3', '192.240.10.103', 20.80867314338684, 'hit']
['s3', '192.240.3.3', 20.84422206878662, 'hit']
['s3', '192.240.3.5', 20.996008157730103, 'hit']
['s3', '192.0.3.8', 21.039278984069824, 'hit']
['s3', '192.240.10.105', 21.097469091415405, 'hit']
['s3', '192.0.3.7', 21.150819063186646, 'hit']
['s3', '192.0.3.9', 21.293801069259644, 'hit']
['s3', '192.240.10.107', 21.375028133392334, 'hit']
['s3', '192.240.3.1', 21.430268049240112, 'hit']
['s3', '192.240.3.4', 21.58688998222351, 'hit']
['s3', '192.0.3.6', 21.67088294029236, 'hit']
['s3', '192.0.3.8', 21.836701154708862, 'hit']
['s3', '192.0.10.119', 21.907619953155518, 'hit']
['s3', '192.0.3.9', 21.97608494758606, 'hit']
['s3', '192.0.10.117', 22.015805959701538, 'hit']
