['s2', '192.240.2.2', 17.479236841201782, 'hit']
['s2', '192.240.2.2', 17.914419889450073, 'hit']
['s2', '192.240.2.2', 17.994473934173584, 'hit']
['s2', '192.240.2.3', 18.0990469455719, 'hit']
['s2', '192.0.2.7', 18.288501977920532, 'hit']
['s2', '192.240.10.102', 18.41265606880188, 'hit']
['s2', '192.240.2.2', 18.460649013519287, 'hit']
['s2', '192.240.2.4', 18.61422896385193, 'hit']
['s2', '192.0.2.6', 18.694891929626465, 'hit']
['s2', '192.240.2.5', 18.764150857925415, 'hit']
['s2', '192.0.2.8', 18.854235887527466, 'hit']
['s2', '192.0.2.10', 18.93008804321289, 'hit']
['s2', '192.240.2.2', 19.076887845993042, 'hit']
['s2', '192.240.2.1', 19.11863088607788, 'hit']
['s2', '192.240.2.3', 19.22644805908203, 'hit']
['s2', '192.240.2.5', 19.298686981201172, 'hit']
['s2', '192.0.2.8', 19.326175928115845, 'hit']
['s2', '192.0.2.10', 19.456526041030884, 'hit']
['s2', '192.240.2.2', 19.52883791923523, 'hit']
['s2', '192.240.2.2', 19.599469900131226, 'hit']
['s2', '192.240.2.1', 19.633525848388672, 'hit']
['s2', '192.240.2.4', 19.693727016448975, 'hit']
['s2', '192.0.2.7', 19.899935960769653, 'hit']
['s2', '192.240.2.2', 20.05511498451233, 'hit']
['s2', '192.240.2.2', 20.087560892105103, 'hit']
['s2', '192.240.2.4', 20.200690984725952, 'hit']
['s2', '192.240.2.3', 20.253923892974854, 'hit']
['s2', '192.0.2.8', 20.3887460231781, 'hit']
['s2', '192.0.2.7', 20.44459295272827, 'hit']
['s2', '192.240.2.2', 20.55857491493225, 'hit']
['s2', '192.240.2.2', 20.64860486984253, 'hit']
['s2', '192.240.2.4', 20.720687866210938, 'hit']
['s2', '192.0.2.6', 20.837013959884644, 'hit']
['s2', '192.0.2.8', 20.92120599746704, 'hit']
['s2', '192.0.2.10', 21.02861785888672, 'hit']
['s2', '192.240.10.107', 21.06735587120056, 'hit']
['s2', '192.240.2.2', 21.121657848358154, 'hit']
['s2', '192.240.10.2', 21.18860387802124, 'hit']
['s2', '192.240.2.3', 21.30604887008667, 'hit']
['s2', '192.240.2.5', 21.407846927642822, 'hit']
['s2', '192.0.10.119', 21.46487307548523, 'hit']
['s2', '192.0.2.10', 21.516618967056274, 'hit']
['s2', '192.0.2.9', 21.59683585166931, 'hit']
['s2', '192.0.10.114', 21.649311065673828, 'hit']
['s2', '192.240.2.1', 21.70508098602295, 'hit']
['s2', '192.240.2.3', 21.816664934158325, 'hit']
['s2', '192.0.2.6', 21.87372398376465, 'hit']
['s2', '192.0.2.8', 21.980818033218384, 'hit']
['s2', '192.0.10.115', 22.02746605873108, 'hit']
['s2', '192.0.2.10', 22.061002016067505, 'hit']
['s2', '192.240.10.5', 22.12774896621704, 'hit']
['s2', '192.240.2.2', 22.155731916427612, 'hit']
['s2', '192.240.2.2', 22.17891788482666, 'hit']
['s2', '192.240.2.1', 22.244579076766968, 'hit']
['s2', '192.0.10.10', 22.311840057373047, 'hit']
['s2', '192.240.2.3', 22.338871955871582, 'hit']
['s2', '192.0.2.6', 22.369812965393066, 'hit']
['s2', '192.240.2.5', 22.43280792236328, 'hit']
['s2', '192.240.10.101', 22.485358953475952, 'hit']
['s2', '192.0.2.10', 22.562092065811157, 'hit']
['s2', '192.0.2.9', 22.657037019729614, 'hit']
['s2', '192.240.2.2', 22.741004943847656, 'hit']
['s2', '192.240.2.4', 22.85700488090515, 'hit']
['s2', '192.240.10.105', 22.920578956604004, 'hit']
['s2', '192.240.2.5', 22.965596914291382, 'hit']
['s2', '192.240.10.3', 23.036701917648315, 'hit']
['s2', '192.0.2.7', 23.090221881866455, 'hit']
