['s6', '192.240.1.2', 2.8604848384857178, 1653749061.890467, 'hit']
['s6', '192.240.1.2', 3.540040969848633, 1653749062.570023, 'hit']
['s6', '192.240.1.2', 4.147892951965332, 1653749063.177875, 'hit']
['s6', '192.240.10.102', 4.786872863769531, 1653749063.816856, 'hit']
['s6', '192.0.10.10', 4.8794989585876465, 1653749063.909481, 'hit']
['s6', '192.240.10.101', 4.944646835327148, 1653749063.97463, 'hit']
['s6', '192.0.1.6', 5.046824932098389, 1653749064.076807, 'hit']
['s6', '192.0.10.9', 5.118417024612427, 1653749064.148399, 'hit']
['s6', '192.0.1.8', 5.186360836029053, 1653749064.216343, 'hit']
['s6', '192.0.1.10', 5.297767877578735, 1653749064.32775, 'hit']
['s6', '192.240.10.4', 5.3898680210113525, 1653749064.41985, 'hit']
['s6', '192.240.1.2', 5.47845983505249, 1653749064.508443, 'hit']
['s6', '192.240.1.2', 5.554250955581665, 1653749064.584233, 'hit']
['s6', '192.240.1.1', 5.593743801116943, 1653749064.623726, 'hit']
['s6', '192.240.10.3', 5.665311813354492, 1653749064.695294, 'hit']
['s6', '192.240.1.4', 5.710964918136597, 1653749064.740948, 'hit']
['s6', '192.240.10.110', 5.7946648597717285, 1653749064.824647, 'hit']
['s6', '192.240.1.5', 5.864087820053101, 1653749064.89407, 'hit']
['s6', '192.240.10.2', 5.9403510093688965, 1653749064.970333, 'hit']
['s6', '192.0.1.7', 6.04470682144165, 1653749065.074689, 'hit']
['s6', '192.0.1.9', 6.114346981048584, 1653749065.144329, 'hit']
['s6', '192.0.10.119', 6.152397871017456, 1653749065.182381, 'hit']
['s6', '192.240.1.4', 6.197621822357178, 1653749065.227605, 'hit']
['s6', '192.0.10.117', 6.271824836730957, 1653749065.301808, 'hit']
['s6', '192.240.1.4', 6.376252889633179, 1653749065.406236, 'hit']
['s6', '192.240.1.3', 6.465473890304565, 1653749065.495456, 'hit']
['s6', '192.0.1.7', 6.518115997314453, 1653749065.548098, 'hit']
['s6', '192.0.1.8', 6.601578950881958, 1653749065.631561, 'hit']
['s6', '192.0.10.7', 6.657470941543579, 1653749065.687453, 'hit']
['s6', '192.0.1.7', 6.7045018672943115, 1653749065.734484, 'hit']
['s6', '192.0.10.116', 6.789426803588867, 1653749065.819409, 'hit']
['s6', '192.240.1.4', 6.942112922668457, 1653749065.972095, 'hit']
['s6', '192.240.1.1', 7.009954929351807, 1653749066.039937, 'hit']
['s6', '192.240.1.4', 7.045974969863892, 1653749066.075957, 'hit']
['s6', '192.0.1.7', 7.203847885131836, 1653749066.23383, 'hit']
['s6', '192.240.10.5', 7.239624977111816, 1653749066.269607, 'hit']
['s6', '192.0.1.7', 7.3690409660339355, 1653749066.399024, 'hit']
['s6', '192.0.1.10', 7.454051971435547, 1653749066.484034, 'hit']
['s6', '192.240.10.104', 7.600507020950317, 1653749066.63049, 'hit']
['s6', '192.240.10.104', 7.6506547927856445, 1653749066.680637, 'hit']
['s6', '192.240.1.1', 7.685145854949951, 1653749066.715129, 'hit']
['s6', '192.0.1.8', 7.768412828445435, 1653749066.798395, 'hit']
['s6', '192.0.10.9', 7.852301836013794, 1653749066.882285, 'hit']
['s6', '192.0.1.8', 7.882176876068115, 1653749066.912159, 'hit']
['s6', '192.0.1.8', 7.928424835205078, 1653749066.958408, 'hit']
['s6', '192.240.10.4', 8.080197811126709, 1653749067.110181, 'hit']
['s6', '192.240.10.107', 8.144475936889648, 1653749067.174458, 'hit']
['s6', '192.240.10.107', 8.184351921081543, 1653749067.214334, 'hit']
['s6', '192.240.10.110', 8.264200925827026, 1653749067.294183, 'hit']
['s6', '192.240.10.3', 8.310638904571533, 1653749067.340622, 'hit']
['s6', '192.240.1.5', 8.330463886260986, 1653749067.360446, 'hit']
['s6', '192.240.1.3', 8.379442930221558, 1653749067.409425, 'hit']
['s6', '192.0.1.6', 8.431166887283325, 1653749067.46115, 'hit']
['s6', '192.0.1.10', 8.634223937988281, 1653749067.664207, 'hit']
['s6', '192.0.1.10', 8.693526983261108, 1653749067.723509, 'hit']
['s6', '192.0.10.114', 8.791996955871582, 1653749067.82198, 'hit']
['s6', '192.240.1.3', 8.885075807571411, 1653749067.915058, 'hit']
['s6', '192.0.10.114', 8.932745933532715, 1653749067.962728, 'hit']
['s6', '192.240.1.3', 8.974196910858154, 1653749068.004179, 'hit']
['s6', '192.0.10.118', 9.034653902053833, 1653749068.064636, 'hit']
['s6', '192.240.1.3', 9.076888799667358, 1653749068.106871, 'hit']
['s6', '192.0.10.118', 9.136758804321289, 1653749068.166741, 'hit']
['s6', '192.240.1.5', 9.172967910766602, 1653749068.20295, 'hit']
['s6', '192.0.10.115', 9.276368856430054, 1653749068.306352, 'hit']
['s6', '192.240.1.1', 9.34932279586792, 1653749068.379305, 'hit']
['s6', '192.0.1.9', 9.415417909622192, 1653749068.4454, 'hit']
['s6', '192.0.10.112', 9.443676948547363, 1653749068.473659, 'hit']
['s6', '192.0.10.111', 9.474244832992554, 1653749068.504227, 'hit']
['s6', '192.240.1.1', 9.510883808135986, 1653749068.540866, 'hit']
['s6', '192.0.10.112', 9.633549928665161, 1653749068.663532, 'hit']
['s6', '192.0.1.10', 9.722038984298706, 1653749068.752022, 'hit']
['s6', '192.240.10.101', 9.764230012893677, 1653749068.794212, 'hit']
['s6', '192.0.1.6', 9.828197002410889, 1653749068.858179, 'hit']
['s6', '192.240.10.101', 9.972533941268921, 1653749069.002516, 'hit']
['s6', '192.0.1.6', 10.040568828582764, 1653749069.070551, 'hit']
['s6', '192.240.10.103', 10.170126914978027, 1653749069.200109, 'hit']
['s6', '192.0.1.6', 10.260733842849731, 1653749069.290716, 'hit']
['s6', '192.0.1.9', 10.305588960647583, 1653749069.335571, 'hit']
['s6', '192.240.10.105', 10.375598907470703, 1653749069.405581, 'hit']
['s6', '192.240.10.110', 10.443580865859985, 1653749069.473564, 'hit']
['s6', '192.240.10.3', 10.464351892471313, 1653749069.494334, 'hit']
['s6', '192.240.10.108', 10.515499830245972, 1653749069.545483, 'hit']
['s6', '192.240.1.5', 10.632429838180542, 1653749069.662412, 'hit']
['s6', '192.240.10.2', 10.68763279914856, 1653749069.717615, 'hit']
['s6', '192.240.10.110', 10.758433818817139, 1653749069.788416, 'hit']
['s6', '192.240.10.3', 10.870836019515991, 1653749069.900818, 'hit']
['s6', '192.240.1.5', 10.953579902648926, 1653749069.983563, 'hit']
['s6', '192.0.10.114', 11.001929998397827, 1653749070.031913, 'hit']
['s6', '192.0.10.119', 11.058357954025269, 1653749070.08834, 'hit']
['s6', '192.240.10.2', 11.089985847473145, 1653749070.119968, 'hit']
['s6', '192.0.10.120', 11.106791019439697, 1653749070.136773, 'hit']
['s6', '192.0.10.117', 11.196761846542358, 1653749070.226744, 'hit']
['s6', '192.0.10.114', 11.309042930603027, 1653749070.339025, 'hit']
['s6', '192.0.10.116', 11.404068946838379, 1653749070.434051, 'hit']
['s6', '192.0.10.115', 11.509647846221924, 1653749070.53963, 'hit']
['s6', '192.0.1.9', 11.545496940612793, 1653749070.57548, 'hit']
['s6', '192.0.10.116', 11.712769985198975, 1653749070.742752, 'hit']
['s6', '192.240.10.102', 11.834052801132202, 1653749070.864035, 'hit']
['s6', '192.0.1.9', 11.880204916000366, 1653749070.910187, 'hit']
['s6', '192.0.10.10', 11.93761682510376, 1653749070.967599, 'hit']
['s6', '192.240.10.102', 12.094368934631348, 1653749071.124351, 'hit']
['s6', '192.240.10.102', 12.179536819458008, 1653749071.209519, 'hit']
['s6', '192.240.10.104', 12.208884954452515, 1653749071.238867, 'hit']
['s6', '192.240.10.103', 12.333415985107422, 1653749071.363398, 'hit']
['s6', '192.240.10.104', 12.413015842437744, 1653749071.442998, 'hit']
['s6', '192.240.10.106', 12.454301834106445, 1653749071.484284, 'hit']
['s6', '192.240.10.105', 12.561250925064087, 1653749071.591233, 'hit']
['s6', '192.240.10.106', 12.686349868774414, 1653749071.716333, 'hit']
['s6', '192.240.10.105', 12.823166847229004, 1653749071.853149, 'hit']
['s6', '192.240.10.108', 12.916339874267578, 1653749071.946322, 'hit']
['s6', '192.240.10.107', 13.053602933883667, 1653749072.083585, 'hit']
['s6', '192.240.10.3', 13.111822843551636, 1653749072.141805, 'hit']
['s6', '192.0.10.113', 13.216516017913818, 1653749072.246499, 'hit']
['s6', '192.240.10.109', 13.301944017410278, 1653749072.331926, 'hit']
['s6', '192.0.10.113', 13.414110898971558, 1653749072.444093, 'hit']
['s6', '192.0.10.117', 13.436460018157959, 1653749072.466443, 'hit']
['s6', '192.0.10.117', 13.582371950149536, 1653749072.612354, 'hit']
['s6', '192.0.10.120', 13.64324402809143, 1653749072.673227, 'hit']
['s6', '192.0.10.118', 13.784514904022217, 1653749072.814498, 'hit']
['s6', '192.0.10.8', 13.870174884796143, 1653749072.900158, 'hit']
['s6', '192.0.10.118', 13.93795394897461, 1653749072.967936, 'hit']
['s6', '192.0.10.115', 14.045328855514526, 1653749073.075311, 'hit']
['s6', '192.0.10.111', 14.118659973144531, 1653749073.148642, 'hit']
['s6', '127.0.0.1', 14.230870962142944, 1653749073.260853, 'hit']
['s6', '192.240.10.102', 14.353571891784668, 1653749073.383555, 'hit']
['s6', '192.240.10.102', 14.453510999679565, 1653749073.483493, 'hit']
['s6', '192.0.10.10', 14.537088871002197, 1653749073.567071, 'hit']
['s6', '192.240.10.102', 14.61048698425293, 1653749073.64047, 'hit']
['s6', '192.240.10.104', 14.699620962142944, 1653749073.729604, 'hit']
['s6', '192.0.10.10', 14.947571992874146, 1653749073.977554, 'hit']
['s6', '192.240.10.105', 15.068087816238403, 1653749074.09807, 'hit']
['s6', '192.240.10.105', 15.142890930175781, 1653749074.172874, 'hit']
['s6', '192.0.10.9', 15.161852836608887, 1653749074.191836, 'hit']
['s6', '192.240.10.107', 15.254503011703491, 1653749074.284485, 'hit']
['s6', '192.240.10.110', 15.40463900566101, 1653749074.434621, 'hit']
['s6', '192.240.10.109', 15.513340950012207, 1653749074.543323, 'hit']
['s6', '192.240.10.4', 15.632511854171753, 1653749074.662495, 'hit']
['s6', '192.0.10.113', 15.694216966629028, 1653749074.724199, 'hit']
['s6', '192.0.10.117', 15.778843879699707, 1653749074.808827, 'hit']
['s6', '192.0.10.117', 15.909066915512085, 1653749074.939049, 'hit']
['s6', '192.0.10.120', 16.002343893051147, 1653749075.032327, 'hit']
['s6', '192.0.10.118', 16.139997005462646, 1653749075.170001, 'hit']
['s6', '192.0.10.116', 16.22092080116272, 1653749075.250904, 'hit']
['s6', '192.0.10.116', 16.403137922286987, 1653749075.433121, 'hit']
['s6', '192.240.10.102', 16.509708881378174, 1653749075.539691, 'hit']
['s6', '192.0.10.112', 16.553627014160156, 1653749075.583609, 'hit']
['s6', '192.0.10.111', 16.637216806411743, 1653749075.667199, 'hit']
['s6', '192.240.10.102', 16.735580921173096, 1653749075.765564, 'hit']
['s6', '192.240.10.101', 16.876202821731567, 1653749075.906186, 'hit']
['s6', '192.240.10.101', 17.029304027557373, 1653749076.059286, 'hit']
['s6', '192.240.10.106', 17.20186185836792, 1653749076.231844, 'hit']
['s6', '192.240.10.103', 17.25788402557373, 1653749076.287867, 'hit']
['s6', '192.0.10.10', 17.331695795059204, 1653749076.361678, 'hit']
['s6', '192.240.10.106', 17.39320993423462, 1653749076.423193, 'hit']
['s6', '192.240.10.107', 17.552727937698364, 1653749076.582711, 'hit']
['s6', '192.240.10.110', 17.692239999771118, 1653749076.722223, 'hit']
['s6', '192.240.10.110', 17.788031816482544, 1653749076.818014, 'hit']
['s6', '192.240.10.109', 17.94522500038147, 1653749076.975207, 'hit']
['s6', '192.0.10.113', 18.058122873306274, 1653749077.088105, 'hit']
['s6', '192.0.10.119', 18.18529987335205, 1653749077.215283, 'hit']
['s6', '192.0.10.120', 18.36617088317871, 1653749077.396154, 'hit']
['s6', '192.0.10.114', 18.432000875473022, 1653749077.461983, 'hit']
['s6', '192.0.10.120', 18.506240844726562, 1653749077.536224, 'hit']
['s6', '192.0.10.115', 18.712301015853882, 1653749077.742283, 'hit']
['s6', '192.0.10.111', 18.826517820358276, 1653749077.8565, 'hit']
['s6', '192.0.10.111', 18.922175884246826, 1653749077.952158, 'hit']
['s6', '192.0.10.6', 19.09844398498535, 1653749078.128426, 'hit']
['s6', '192.240.10.101', 19.20542287826538, 1653749078.235405, 'hit']
['s6', '192.240.10.101', 19.353384017944336, 1653749078.383366, 'hit']
['s6', '192.0.10.6', 19.372954845428467, 1653749078.402937, 'hit']
['s6', '192.240.10.103', 19.41257882118225, 1653749078.442561, 'hit']
['s6', '192.240.10.106', 19.509202003479004, 1653749078.539185, 'hit']
['s6', '192.240.10.103', 19.584921836853027, 1653749078.614905, 'hit']
['s6', '192.0.10.10', 19.735376834869385, 1653749078.765359, 'hit']
['s6', '192.0.10.10', 19.838573932647705, 1653749078.868556, 'hit']
['s6', '192.240.10.107', 19.944862842559814, 1653749078.974846, 'hit']
['s6', '192.0.10.113', 20.160631895065308, 1653749079.190615, 'hit']
