['s3', '192.0.1.8', 19.4538631439209, 1653749078.478821, 'hit']
['s3', '192.0.1.10', 19.56594705581665, 1653749078.590907, 'hit']
['s3', '192.240.1.2', 19.654222011566162, 1653749078.67918, 'hit']
['s3', '192.240.1.1', 19.768004179000854, 1653749078.792963, 'hit']
['s3', '192.240.1.3', 19.88601016998291, 1653749078.910968, 'hit']
['s3', '192.240.1.5', 20.00415301322937, 1653749079.029111, 'hit']
['s3', '192.0.1.7', 20.097220182418823, 1653749079.122179, 'hit']
['s3', '192.0.1.10', 20.13887906074524, 1653749079.163837, 'hit']
['s3', '192.240.1.2', 20.258195161819458, 1653749079.283153, 'hit']
['s3', '192.240.1.2', 20.28694200515747, 1653749079.3119, 'hit']
['s3', '192.240.1.4', 20.427021026611328, 1653749079.451979, 'hit']
['s3', '192.0.1.6', 20.512887001037598, 1653749079.537845, 'hit']
['s3', '192.240.1.5', 20.549070119857788, 1653749079.574028, 'hit']
['s3', '192.0.1.8', 20.642726182937622, 1653749079.667685, 'hit']
['s3', '192.0.1.7', 20.65506410598755, 1653749079.680022, 'hit']
['s3', '192.0.1.10', 20.716665029525757, 1653749079.741624, 'hit']
['s3', '192.0.1.9', 20.760513067245483, 1653749079.785471, 'hit']
['s3', '192.240.1.2', 20.864561080932617, 1653749079.88952, 'hit']
['s3', '192.240.1.1', 20.961733102798462, 1653749079.986692, 'hit']
['s3', '192.240.1.3', 21.087942123413086, 1653749080.1129, 'hit']
['s3', '192.0.1.6', 21.137558221817017, 1653749080.162516, 'hit']
['s3', '192.240.1.5', 21.18880605697632, 1653749080.213764, 'hit']
['s3', '192.0.1.7', 21.324329137802124, 1653749080.349287, 'hit']
['s3', '192.0.1.9', 21.461273193359375, 1653749080.486231, 'hit']
['s3', '192.240.1.2', 21.565001010894775, 1653749080.589959, 'hit']
['s3', '192.240.1.4', 21.67443013191223, 1653749080.699388, 'hit']
['s3', '192.0.1.6', 21.785896062850952, 1653749080.810854, 'hit']
['s3', '192.240.1.5', 21.83108901977539, 1653749080.856047, 'hit']
['s3', '192.0.1.8', 21.898434162139893, 1653749080.923392, 'hit']
['s3', '192.0.1.10', 22.06102705001831, 1653749081.085985, 'hit']
['s3', '192.0.1.10', 22.145649194717407, 1653749081.170608, 'hit']
['s3', '192.240.1.1', 22.275671005249023, 1653749081.30063, 'hit']
['s3', '192.240.1.3', 22.374746084213257, 1653749081.399705, 'hit']
['s3', '192.240.1.5', 22.525426149368286, 1653749081.550384, 'hit']
['s3', '192.0.1.7', 22.629929065704346, 1653749081.654888, 'hit']
['s3', '192.0.1.9', 22.75841999053955, 1653749081.783378, 'hit']
['s3', '192.240.1.2', 22.85020613670349, 1653749081.875164, 'hit']
['s3', '192.240.1.4', 22.954491138458252, 1653749081.979449, 'hit']
['s3', '192.240.1.3', 22.99819302558899, 1653749082.023151, 'hit']
['s3', '192.0.1.6', 23.039348125457764, 1653749082.064306, 'hit']
['s3', '192.240.1.5', 23.092077016830444, 1653749082.117035, 'hit']
['s3', '192.0.1.8', 23.175273180007935, 1653749082.200232, 'hit']
['s3', '192.0.1.7', 23.194382190704346, 1653749082.219341, 'hit']
['s3', '192.0.1.10', 23.242622137069702, 1653749082.26758, 'hit']
['s3', '192.0.1.9', 23.28246808052063, 1653749082.307426, 'hit']
['s3', '192.240.1.2', 23.317625045776367, 1653749082.342583, 'hit']
['s3', '192.240.1.2', 23.365936994552612, 1653749082.390895, 'hit']
['s3', '192.240.1.1', 23.44551706314087, 1653749082.470475, 'hit']
['s3', '192.240.1.3', 23.57375717163086, 1653749082.598716, 'hit']
['s3', '192.240.1.5', 23.620906114578247, 1653749082.645865, 'hit']
['s3', '192.240.10.102', 23.652644157409668, 1653749082.677602, 'hit']
['s3', '192.0.1.7', 23.6980721950531, 1653749082.723031, 'hit']
['s3', '192.0.1.9', 23.801090002059937, 1653749082.826048, 'hit']
['s3', '192.240.1.2', 23.91170310974121, 1653749082.936661, 'hit']
['s3', '192.240.1.4', 24.013960123062134, 1653749083.038919, 'hit']
