['s6', '192.240.1.2', 5.665510892868042, 1653816229.741876, 'hit']
['s6', '192.240.1.2', 5.730777978897095, 1653816229.807142, 'hit']
['s6', '192.240.1.4', 5.866695880889893, 1653816229.943061, 'hit']
['s6', '192.240.1.3', 5.9037768840789795, 1653816229.980141, 'hit']
['s6', '192.0.1.7', 6.182807922363281, 1653816230.259172, 'hit']
['s6', '192.0.1.9', 6.278153896331787, 1653816230.354518, 'hit']
['s6', '192.240.1.2', 6.387058973312378, 1653816230.463423, 'hit']
['s6', '192.240.1.1', 6.519002914428711, 1653816230.595368, 'hit']
['s6', '192.240.1.3', 6.6692728996276855, 1653816230.745637, 'hit']
['s6', '192.240.1.5', 6.787312030792236, 1653816230.863676, 'hit']
['s6', '192.0.1.8', 6.826503038406372, 1653816230.902867, 'hit']
['s6', '192.0.1.7', 6.974040985107422, 1653816231.050405, 'hit']
['s6', '192.0.1.9', 7.082573890686035, 1653816231.158938, 'hit']
['s6', '192.240.1.2', 7.126361846923828, 1653816231.202726, 'hit']
['s6', '192.240.1.2', 7.223682880401611, 1653816231.300047, 'hit']
['s6', '192.240.1.3', 7.355520963668823, 1653816231.431885, 'hit']
['s6', '192.0.1.6', 7.4631030559539795, 1653816231.539468, 'hit']
['s6', '192.240.1.5', 7.515017032623291, 1653816231.591381, 'hit']
['s6', '192.0.1.8', 7.59067702293396, 1653816231.667041, 'hit']
['s6', '192.0.1.10', 7.723022937774658, 1653816231.799388, 'hit']
['s6', '192.240.10.102', 7.789957046508789, 1653816231.866321, 'hit']
['s6', '192.240.1.2', 7.821056842803955, 1653816231.897422, 'hit']
['s6', '192.240.1.2', 7.86953592300415, 1653816231.9459, 'hit']
['s6', '192.0.10.10', 7.942273855209351, 1653816232.018638, 'hit']
['s6', '192.240.1.4', 8.01123595237732, 1653816232.0876, 'hit']
['s6', '192.240.1.3', 8.074339866638184, 1653816232.150704, 'hit']
['s6', '192.240.1.5', 8.188590049743652, 1653816232.264954, 'hit']
['s6', '192.0.1.8', 8.215906858444214, 1653816232.292271, 'hit']
['s6', '192.0.1.10', 8.386687994003296, 1653816232.463052, 'hit']
['s6', '192.240.1.1', 8.687671899795532, 1653816232.764036, 'hit']
['s6', '192.240.1.4', 8.777965068817139, 1653816232.85433, 'hit']
['s6', '192.240.1.3', 8.808385848999023, 1653816232.88475, 'hit']
['s6', '192.240.1.5', 8.910830974578857, 1653816232.987195, 'hit']
['s6', '192.0.1.8', 9.023912906646729, 1653816233.100277, 'hit']
['s6', '192.0.1.7', 9.059675931930542, 1653816233.13604, 'hit']
['s6', '192.0.1.10', 9.115133047103882, 1653816233.191497, 'hit']
