['s4', '192.0.1.7', 21.368019104003906, 1653816245.442478, 'hit']
['s4', '192.0.1.7', 21.465732097625732, 1653816245.54019, 'hit']
['s4', '192.0.1.7', 21.93207311630249, 1653816246.006531, 'hit']
['s4', '192.0.1.7', 21.986335039138794, 1653816246.060794, 'hit']
['s4', '192.0.1.7', 22.157609224319458, 1653816246.232067, 'hit']
['s4', '192.0.1.7', 22.573559999465942, 1653816246.648019, 'hit']
['s4', '192.0.1.7', 22.759969234466553, 1653816246.834427, 'hit']
['s4', '192.0.1.7', 23.23872709274292, 1653816247.313186, 'hit']
['s4', '192.0.1.7', 23.272510051727295, 1653816247.346968, 'hit']
['s4', '192.0.1.7', 23.43806505203247, 1653816247.512523, 'hit']
['s4', '192.0.1.7', 23.90239906311035, 1653816247.976857, 'hit']
['s4', '192.0.1.7', 23.96181011199951, 1653816248.036268, 'hit']
['s4', '192.0.1.7', 24.03988218307495, 1653816248.11434, 'hit']
['s4', '192.0.1.7', 24.57244110107422, 1653816248.6469, 'hit']
['s4', '192.0.1.7', 24.743446111679077, 1653816248.817904, 'hit']
['s4', '192.0.1.7', 25.306987047195435, 1653816249.381445, 'hit']
['s4', '192.0.1.7', 25.370001077651978, 1653816249.444459, 'hit']
['s4', '192.0.1.7', 25.443029165267944, 1653816249.517488, 'hit']
['s4', '192.0.1.7', 25.961307048797607, 1653816250.035765, 'hit']
['s4', '192.0.1.7', 26.00725817680359, 1653816250.081717, 'hit']
['s4', '192.0.1.7', 26.06583309173584, 1653816250.140292, 'hit']
['s4', '192.0.1.7', 26.598072052001953, 1653816250.67253, 'hit']
['s4', '192.0.1.7', 26.73115301132202, 1653816250.805611, 'hit']
['s4', '192.0.1.7', 27.380872011184692, 1653816251.45533, 'hit']
['s4', '192.0.1.7', 27.460143089294434, 1653816251.534602, 'hit']
['s4', '192.0.1.7', 28.134523153305054, 1653816252.208981, 'hit']
['s4', '192.0.1.7', 28.303234100341797, 1653816252.377692, 'hit']
['s4', '192.0.1.7', 28.81528615951538, 1653816252.889745, 'hit']
['s4', '192.0.1.7', 28.94029712677002, 1653816253.014755, 'hit']
['s4', '192.0.1.7', 29.09969711303711, 1653816253.174155, 'hit']
['s4', '192.0.1.7', 29.668962001800537, 1653816253.74342, 'hit']
['s4', '192.0.1.7', 29.80111312866211, 1653816253.875572, 'hit']
['s4', '192.0.1.7', 30.332348108291626, 1653816254.406806, 'hit']
['s4', '192.0.1.7', 30.454745054244995, 1653816254.529203, 'hit']
['s4', '192.0.1.7', 30.96713900566101, 1653816255.041598, 'hit']
['s4', '192.0.1.7', 31.11084008216858, 1653816255.185298, 'hit']
['s4', '192.0.1.7', 31.572525024414062, 1653816255.646983, 'hit']
['s4', '192.0.1.7', 31.71366000175476, 1653816255.788118, 'hit']
['s4', '192.0.1.7', 32.32256102561951, 1653816256.397019, 'hit']
['s4', '192.0.1.7', 32.44101905822754, 1653816256.515478, 'hit']
['s4', '192.0.1.7', 32.49274301528931, 1653816256.567202, 'hit']
['s4', '192.0.1.7', 33.05051517486572, 1653816257.124973, 'hit']
['s4', '192.0.1.7', 33.17958116531372, 1653816257.254039, 'hit']
['s4', '192.0.1.7', 33.75761008262634, 1653816257.832068, 'hit']
['s4', '192.0.1.7', 33.86065101623535, 1653816257.935109, 'hit']
['s4', '192.0.1.7', 34.313273191452026, 1653816258.387731, 'hit']
['s4', '192.0.1.7', 34.45402908325195, 1653816258.528487, 'hit']
['s4', '192.0.1.7', 35.01322817802429, 1653816259.087687, 'hit']
['s4', '192.0.1.7', 35.111969232559204, 1653816259.186427, 'hit']
['s4', '192.0.1.7', 35.568366050720215, 1653816259.642824, 'hit']
['s4', '192.0.1.7', 35.737826108932495, 1653816259.812285, 'hit']
['s4', '192.0.1.7', 36.24850511550903, 1653816260.322963, 'hit']
['s4', '192.0.1.7', 36.34415912628174, 1653816260.418618, 'hit']
['s4', '192.0.1.7', 36.382538080215454, 1653816260.456996, 'hit']
['s4', '192.0.1.7', 36.80410599708557, 1653816260.878564, 'hit']
['s4', '192.0.1.7', 36.92030215263367, 1653816260.99476, 'hit']
['s4', '192.0.1.7', 36.98899221420288, 1653816261.063451, 'hit']
['s4', '192.0.1.7', 37.469855070114136, 1653816261.544313, 'hit']
['s4', '192.0.1.7', 37.572946071624756, 1653816261.647404, 'hit']
['s4', '192.0.1.7', 37.68841314315796, 1653816261.762872, 'hit']
['s4', '192.0.1.7', 38.075531005859375, 1653816262.14999, 'hit']
['s4', '192.0.1.7', 38.17657518386841, 1653816262.251034, 'hit']
['s4', '192.0.1.7', 38.21832609176636, 1653816262.292784, 'hit']
['s4', '192.0.1.7', 38.73624110221863, 1653816262.810699, 'hit']
['s4', '192.0.1.7', 38.808871030807495, 1653816262.883329, 'hit']
['s4', '192.0.1.7', 38.95737409591675, 1653816263.031832, 'hit']
['s4', '192.0.1.7', 39.363402128219604, 1653816263.437861, 'hit']
['s4', '192.0.1.7', 39.53585720062256, 1653816263.610316, 'hit']
['s4', '192.0.1.7', 39.63196420669556, 1653816263.706422, 'hit']
['s4', '192.0.1.7', 40.06738018989563, 1653816264.141838, 'hit']
['s4', '192.0.1.8', 40.13434600830078, 1653816264.208804, 'hit']
['s4', '192.0.1.8', 40.21096110343933, 1653816264.285419, 'hit']
['s4', '192.0.1.7', 40.28507900238037, 1653816264.359538, 'hit']
['s4', '192.0.1.8', 40.78203201293945, 1653816264.856491, 'hit']
['s4', '192.0.1.8', 40.83008408546448, 1653816264.904542, 'hit']
['s4', '192.0.1.8', 40.884730100631714, 1653816264.959189, 'hit']
['s4', '192.0.1.8', 41.35152006149292, 1653816265.425978, 'hit']
['s4', '192.0.1.7', 41.44501304626465, 1653816265.519471, 'hit']
['s4', '192.0.1.7', 41.49896311759949, 1653816265.573422, 'hit']
['s4', '192.0.1.7', 41.61001205444336, 1653816265.68447, 'hit']
['s4', '192.0.1.8', 41.97707200050354, 1653816266.05153, 'hit']
['s4', '192.0.1.8', 42.103541135787964, 1653816266.178, 'hit']
['s4', '192.0.1.8', 42.18339514732361, 1653816266.257854, 'hit']
['s4', '192.0.1.7', 42.20139217376709, 1653816266.27585, 'hit']
['s4', '192.0.1.8', 42.51738119125366, 1653816266.591839, 'hit']
['s4', '192.0.1.7', 42.574584007263184, 1653816266.649042, 'hit']
['s4', '192.0.1.8', 42.754014015197754, 1653816266.828472, 'hit']
['s4', '192.0.1.7', 42.78579521179199, 1653816266.860254, 'hit']
['s4', '192.0.1.7', 42.84733605384827, 1653816266.921794, 'hit']
['s4', '192.0.1.8', 43.164759159088135, 1653816267.239218, 'hit']
['s4', '192.0.1.8', 43.37483811378479, 1653816267.449296, 'hit']
['s4', '192.0.1.7', 43.44374108314514, 1653816267.5182, 'hit']
['s4', '192.0.1.7', 43.49830102920532, 1653816267.57276, 'hit']
['s4', '192.0.1.8', 43.71491503715515, 1653816267.789373, 'hit']
['s4', '192.0.1.7', 43.82744002342224, 1653816267.901898, 'hit']
['s4', '192.0.1.8', 44.07428503036499, 1653816268.148744, 'hit']
['s4', '192.0.1.7', 44.14425015449524, 1653816268.218708, 'hit']
['s4', '192.0.1.8', 44.475391149520874, 1653816268.54985, 'hit']
['s4', '192.0.1.7', 44.53682613372803, 1653816268.611284, 'hit']
['s4', '192.0.1.8', 44.78966403007507, 1653816268.864122, 'hit']
['s4', '192.0.1.8', 44.86154508590698, 1653816268.936003, 'hit']
['s4', '192.0.1.8', 45.28021311759949, 1653816269.354671, 'hit']
['s4', '192.0.1.7', 45.310102224349976, 1653816269.384561, 'hit']
['s4', '192.0.1.8', 45.55981421470642, 1653816269.634272, 'hit']
['s4', '192.0.1.7', 45.654601097106934, 1653816269.729059, 'hit']
['s4', '192.0.1.8', 45.99483108520508, 1653816270.069289, 'hit']
['s4', '192.0.1.8', 46.14957809448242, 1653816270.224037, 'hit']
['s4', '192.0.1.8', 46.23385000228882, 1653816270.308308, 'hit']
['s4', '192.0.1.7', 46.288668155670166, 1653816270.363126, 'hit']
['s4', '192.0.1.8', 46.57708120346069, 1653816270.651539, 'hit']
['s4', '192.0.1.7', 46.69220805168152, 1653816270.766666, 'hit']
['s4', '192.0.1.8', 46.82760715484619, 1653816270.902065, 'hit']
['s4', '192.0.1.7', 46.891517162323, 1653816270.965975, 'hit']
['s4', '192.0.1.8', 46.992998123168945, 1653816271.067456, 'hit']
