(0, 0)
(0.5011229515075684, 7)
(1.011549949645996, 44)
(1.5242910385131836, 50)
(2.0413529872894287, 8)
(2.56469988822937, 8)
(3.0860140323638916, 7)
(3.615756034851074, 27)
(4.13966703414917, 2)
(4.6552040576934814, 2)
(5.179175853729248, 2)
(5.6926469802856445, 2)
(6.208261966705322, 0)
(6.732308864593506, 8)
(7.2623748779296875, 16)
(7.784280061721802, 44)
(8.291509866714478, 51)
(8.800366878509521, 48)
(9.308573007583618, 22)
(9.815566062927246, 47)
(10.324599027633667, 67)
(10.845737934112549, 111)
(11.353731870651245, 12)
(11.86179804801941, 8)
(12.387488842010498, 10)
(12.90907096862793, 16)
(13.425283908843994, 4)
(13.938173055648804, 23)
(14.461715936660767, 10)
(14.981963872909546, 11)
(15.506276845932007, 32)
(16.01972985267639, 10)
(16.53886389732361, 8)
(17.06295394897461, 6)
(17.5818829536438, 5)
(18.103396892547607, 8)
(18.625025987625122, 50)
(19.13981795310974, 41)
(19.658721923828125, 65)
(20.169795036315918, 111)
(20.693678855895996, 122)
(21.21164894104004, 77)
(21.725268840789795, 45)
(22.245718002319336, 48)
(22.762136936187744, 58)
(23.295557975769043, 20)
(23.83319401741028, 5)
(24.35338306427002, 4)
(24.874348878860474, 4)
(25.39309000968933, 2)
(25.913370847702026, 17)
(26.43177890777588, 33)
(26.958927869796753, 62)
(27.485363960266113, 51)
(28.003298044204712, 51)
(28.52327585220337, 46)
(29.04667901992798, 49)
(29.557920932769775, 81)
(30.06620502471924, 81)
(30.586118936538696, 87)
(31.106144905090332, 109)
(31.62379503250122, 88)
(32.14525103569031, 73)
(32.655783891677856, 87)
(33.192479848861694, 100)
(33.72798800468445, 94)
(34.24637198448181, 72)
(34.76593589782715, 52)
(35.27830100059509, 47)
(35.790297985076904, 56)
(36.32114005088806, 9)
(36.845958948135376, 14)
(37.35943388938904, 11)
(37.8728928565979, 8)
(38.38628101348877, 6)
(38.902583837509155, 4)
(39.41169786453247, 9)
(39.92228698730469, 2)
(40.43138098716736, 13)
(40.94339394569397, 4)
(41.451071977615356, 4)
(41.96308493614197, 2)
(42.47508883476257, 13)
(42.98704504966736, 3)
(43.49619483947754, 2)
(44.00531005859375, 2)
(44.51535987854004, 2)
(45.02496600151062, 1)
(45.534082889556885, 0)
(46.05183386802673, 0)
(46.56238794326782, 0)
(47.072985887527466, 0)
(47.58350586891174, 0)
(48.094950914382935, 0)
(48.628636837005615, 23)
(49.1374249458313, 4)
(49.64610004425049, 9)
(50.157230854034424, 43)
(50.66598892211914, 14)
(51.190232038497925, 5)
(51.699058055877686, 11)
(52.20786190032959, 42)
(52.7158420085907, 49)
(53.23175883293152, 84)
(53.747681856155396, 86)
(54.26717805862427, 81)
(54.79211091995239, 62)
(55.30804991722107, 45)
(55.82511496543884, 48)
(56.34558391571045, 49)
(56.86237382888794, 21)
(57.3816020488739, 17)
(57.90702486038208, 24)
(58.430115938186646, 63)
(58.95324206352234, 72)
(59.471983909606934, 48)
(59.98854398727417, 47)
(60.502678871154785, 50)
(61.02439785003662, 85)
(61.5444450378418, 82)
(62.06165885925293, 62)
(62.57577586174011, 33)
(63.09445595741272, 4)
(63.61018085479736, 4)
(64.12723684310913, 11)
(64.64583683013916, 45)
(65.16755604743958, 50)
(65.69183087348938, 83)
(66.20702886581421, 62)
(66.73104786872864, 17)
(67.24786496162415, 10)
(67.76761293411255, 10)
(68.2874219417572, 7)
(68.80944085121155, 2)
(69.33100295066833, 0)
(69.8702380657196, 0)
(70.41199898719788, 6)
(70.94144296646118, 8)
(71.46255397796631, 4)
(71.97863984107971, 7)
(72.49689483642578, 17)
(73.0208969116211, 17)
(73.54920291900635, 16)
(74.06743502616882, 11)
(74.58725190162659, 7)
(75.1112608909607, 39)
(75.64092588424683, 22)
(76.16641998291016, 6)
(76.68968200683594, 30)
